연번,수송일자,호선,역번호,역명,승하차구분,승객유형,인원수
206,2023-01-21,9,4126,언주역,하차,일반,1598
207,2023-01-21,9,4126,언주역,하차,어린이,18
208,2023-01-21,9,4126,언주역,하차,청소년,49
209,2023-01-21,9,4126,언주역,하차,무임권,295
210,2023-01-21,9,4126,언주역,하차,정기권,39
211,2023-01-22,9,4126,언주역,승차,일반,1368
212,2023-01-22,9,4126,언주역,승차,어린이,23
213,2023-01-22,9,4126,언주역,승차,청소년,39
214,2023-01-22,9,4126,언주역,승차,무임권,235
215,2023-01-22,9,4126,언주역,승차,정기권,15
216,2023-01-22,9,4126,언주역,하차,일반,1258
217,2023-01-22,9,4126,언주역,하차,어린이,15
218,2023-01-22,9,4126,언주역,하차,청소년,23
219,2023-01-22,9,4126,언주역,하차,무임권,242
220,2023-01-22,9,4126,언주역,하차,정기권,21
221,2023-01-23,9,4126,언주역,승차,일반,1620
222,2023-01-23,9,4126,언주역,승차,어린이,37
223,2023-01-23,9,4126,언주역,승차,청소년,42
224,2023-01-23,9,4126,언주역,승차,무임권,266
225,2023-01-23,9,4126,언주역,승차,정기권,31
226,2023-01-23,9,4126,언주역,하차,일반,1768
227,2023-01-23,9,4126,언주역,하차,어린이,29
228,2023-01-23,9,4126,언주역,하차,청소년,42
229,2023-01-23,9,4126,언주역,하차,무임권,274
230,2023-01-23,9,4126,언주역,하차,정기권,34
231,2023-01-24,9,4126,언주역,승차,일반,1832
232,2023-01-24,9,4126,언주역,승차,어린이,20
233,2023-01-24,9,4126,언주역,승차,청소년,71
234,2023-01-24,9,4126,언주역,승차,무임권,269
235,2023-01-24,9,4126,언주역,승차,정기권,46
236,2023-01-24,9,4126,언주역,하차,일반,2221
237,2023-01-24,9,4126,언주역,하차,어린이,18
238,2023-01-24,9,4126,언주역,하차,청소년,79
239,2023-01-24,9,4126,언주역,하차,무임권,268
240,2023-01-24,9,4126,언주역,하차,정기권,42
241,2023-01-25,9,4126,언주역,승차,일반,9901
242,2023-01-25,9,4126,언주역,승차,어린이,49
243,2023-01-25,9,4126,언주역,승차,청소년,140
244,2023-01-25,9,4126,언주역,승차,무임권,893
245,2023-01-25,9,4126,언주역,승차,정기권,216
246,2023-01-25,9,4126,언주역,하차,일반,10164
247,2023-01-25,9,4126,언주역,하차,어린이,49
248,2023-01-25,9,4126,언주역,하차,청소년,154
249,2023-01-25,9,4126,언주역,하차,무임권,880
250,2023-01-25,9,4126,언주역,하차,정기권,246
251,2023-01-26,9,4126,언주역,승차,일반,11200
252,2023-01-26,9,4126,언주역,승차,어린이,62
253,2023-01-26,9,4126,언주역,승차,청소년,134
254,2023-01-26,9,4126,언주역,승차,무임권,1061
255,2023-01-26,9,4126,언주역,승차,정기권,229
256,2023-01-26,9,4126,언주역,하차,일반,11832
257,2023-01-26,9,4126,언주역,하차,어린이,66
258,2023-01-26,9,4126,언주역,하차,청소년,144
259,2023-01-26,9,4126,언주역,하차,무임권,1019
260,2023-01-26,9,4126,언주역,하차,정기권,250
261,2023-01-27,9,4126,언주역,승차,일반,11320
262,2023-01-27,9,4126,언주역,승차,어린이,59
263,2023-01-27,9,4126,언주역,승차,청소년,144
264,2023-01-27,9,4126,언주역,승차,무임권,1115
265,2023-01-27,9,4126,언주역,승차,정기권,238
266,2023-01-27,9,4126,언주역,하차,일반,11230
267,2023-01-27,9,4126,언주역,하차,어린이,49
268,2023-01-27,9,4126,언주역,하차,청소년,150
269,2023-01-27,9,4126,언주역,하차,무임권,1052
270,2023-01-27,9,4126,언주역,하차,정기권,248
271,2023-01-28,9,4126,언주역,승차,일반,4876
272,2023-01-28,9,4126,언주역,승차,어린이,101
273,2023-01-28,9,4126,언주역,승차,청소년,209
274,2023-01-28,9,4126,언주역,승차,무임권,703
275,2023-01-28,9,4126,언주역,승차,정기권,92
276,2023-01-28,9,4126,언주역,하차,일반,4790
277,2023-01-28,9,4126,언주역,하차,어린이,91
278,2023-01-28,9,4126,언주역,하차,청소년,202
279,2023-01-28,9,4126,언주역,하차,무임권,710
280,2023-01-28,9,4126,언주역,하차,정기권,103
281,2023-01-29,9,4126,언주역,승차,일반,2943
282,2023-01-29,9,4126,언주역,승차,어린이,83
283,2023-01-29,9,4126,언주역,승차,청소년,174
284,2023-01-29,9,4126,언주역,승차,무임권,518
285,2023-01-29,9,4126,언주역,승차,정기권,47
286,2023-01-29,9,4126,언주역,하차,일반,2926
287,2023-01-29,9,4126,언주역,하차,어린이,80
288,2023-01-29,9,4126,언주역,하차,청소년,157
289,2023-01-29,9,4126,언주역,하차,무임권,510
290,2023-01-29,9,4126,언주역,하차,정기권,52
291,2023-01-30,9,4126,언주역,승차,일반,10473
292,2023-01-30,9,4126,언주역,승차,어린이,49
293,2023-01-30,9,4126,언주역,승차,청소년,148
294,2023-01-30,9,4126,언주역,승차,무임권,1070
295,2023-01-30,9,4126,언주역,승차,정기권,244
296,2023-01-30,9,4126,언주역,하차,일반,10863
297,2023-01-30,9,4126,언주역,하차,어린이,55
298,2023-01-30,9,4126,언주역,하차,청소년,150
299,2023-01-30,9,4126,언주역,하차,무임권,1052
300,2023-01-30,9,4126,언주역,하차,정기권,249
301,2023-01-31,9,4126,언주역,승차,일반,10675
302,2023-01-31,9,4126,언주역,승차,어린이,60
303,2023-01-31,9,4126,언주역,승차,청소년,149
304,2023-01-31,9,4126,언주역,승차,무임권,1112
305,2023-01-31,9,4126,언주역,승차,정기권,267
306,2023-01-31,9,4126,언주역,하차,일반,10983
307,2023-01-31,9,4126,언주역,하차,어린이,59
308,2023-01-31,9,4126,언주역,하차,청소년,143
309,2023-01-31,9,4126,언주역,하차,무임권,1121
310,2023-01-31,9,4126,언주역,하차,정기권,282
311,2023-02-01,9,4126,언주역,승차,일반,10837
312,2023-02-01,9,4126,언주역,승차,어린이,60
313,2023-02-01,9,4126,언주역,승차,청소년,170
314,2023-02-01,9,4126,언주역,승차,무임권,1107
315,2023-02-01,9,4126,언주역,승차,정기권,252
316,2023-02-01,9,4126,언주역,하차,일반,11155
317,2023-02-01,9,4126,언주역,하차,어린이,65
318,2023-02-01,9,4126,언주역,하차,청소년,145
319,2023-02-01,9,4126,언주역,하차,무임권,1086
320,2023-02-01,9,4126,언주역,하차,정기권,257
321,2023-02-02,9,4126,언주역,승차,일반,11000
322,2023-02-02,9,4126,언주역,승차,어린이,60
323,2023-02-02,9,4126,언주역,승차,청소년,164
324,2023-02-02,9,4126,언주역,승차,무임권,1107
325,2023-02-02,9,4126,언주역,승차,정기권,246
326,2023-02-02,9,4126,언주역,하차,일반,11346
327,2023-02-02,9,4126,언주역,하차,어린이,65
328,2023-02-02,9,4126,언주역,하차,청소년,158
329,2023-02-02,9,4126,언주역,하차,무임권,1067
330,2023-02-02,9,4126,언주역,하차,정기권,271
331,2023-02-03,9,4126,언주역,승차,일반,11212
332,2023-02-03,9,4126,언주역,승차,어린이,70
333,2023-02-03,9,4126,언주역,승차,청소년,160
334,2023-02-03,9,4126,언주역,승차,무임권,1156
335,2023-02-03,9,4126,언주역,승차,정기권,248
336,2023-02-03,9,4126,언주역,하차,일반,11132
337,2023-02-03,9,4126,언주역,하차,어린이,68
338,2023-02-03,9,4126,언주역,하차,청소년,178
339,2023-02-03,9,4126,언주역,하차,무임권,1084
340,2023-02-03,9,4126,언주역,하차,정기권,257
341,2023-02-04,9,4126,언주역,승차,일반,5704
342,2023-02-04,9,4126,언주역,승차,어린이,138
343,2023-02-04,9,4126,언주역,승차,청소년,261
344,2023-02-04,9,4126,언주역,승차,무임권,831
345,2023-02-04,9,4126,언주역,승차,정기권,96
346,2023-02-04,9,4126,언주역,하차,일반,5666
347,2023-02-04,9,4126,언주역,하차,어린이,122
348,2023-02-04,9,4126,언주역,하차,청소년,221
349,2023-02-04,9,4126,언주역,하차,무임권,820
350,2023-02-04,9,4126,언주역,하차,정기권,105
351,2023-02-05,9,4126,언주역,승차,일반,3036
352,2023-02-05,9,4126,언주역,승차,어린이,84
353,2023-02-05,9,4126,언주역,승차,청소년,171
354,2023-02-05,9,4126,언주역,승차,무임권,553
355,2023-02-05,9,4126,언주역,승차,정기권,46
356,2023-02-05,9,4126,언주역,하차,일반,3163
357,2023-02-05,9,4126,언주역,하차,어린이,88
358,2023-02-05,9,4126,언주역,하차,청소년,162
359,2023-02-05,9,4126,언주역,하차,무임권,568
360,2023-02-05,9,4126,언주역,하차,정기권,44
361,2023-02-06,9,4126,언주역,승차,일반,10539
362,2023-02-06,9,4126,언주역,승차,어린이,45
363,2023-02-06,9,4126,언주역,승차,청소년,133
364,2023-02-06,9,4126,언주역,승차,무임권,1071
365,2023-02-06,9,4126,언주역,승차,정기권,244
366,2023-02-06,9,4126,언주역,하차,일반,10951
367,2023-02-06,9,4126,언주역,하차,어린이,43
368,2023-02-06,9,4126,언주역,하차,청소년,135
369,2023-02-06,9,4126,언주역,하차,무임권,1028
370,2023-02-06,9,4126,언주역,하차,정기권,250
371,2023-02-07,9,4126,언주역,승차,일반,10940
372,2023-02-07,9,4126,언주역,승차,어린이,54
373,2023-02-07,9,4126,언주역,승차,청소년,135
374,2023-02-07,9,4126,언주역,승차,무임권,1090
375,2023-02-07,9,4126,언주역,승차,정기권,252
376,2023-02-07,9,4126,언주역,하차,일반,11243
377,2023-02-07,9,4126,언주역,하차,어린이,62
378,2023-02-07,9,4126,언주역,하차,청소년,140
379,2023-02-07,9,4126,언주역,하차,무임권,1078
380,2023-02-07,9,4126,언주역,하차,정기권,283
381,2023-02-08,9,4126,언주역,승차,일반,10807
382,2023-02-08,9,4126,언주역,승차,어린이,67
383,2023-02-08,9,4126,언주역,승차,청소년,158
384,2023-02-08,9,4126,언주역,승차,무임권,1122
385,2023-02-08,9,4126,언주역,승차,정기권,244
386,2023-02-08,9,4126,언주역,하차,일반,11183
387,2023-02-08,9,4126,언주역,하차,어린이,61
388,2023-02-08,9,4126,언주역,하차,청소년,171
389,2023-02-08,9,4126,언주역,하차,무임권,1104
390,2023-02-08,9,4126,언주역,하차,정기권,270
391,2023-02-09,9,4126,언주역,승차,일반,10853
392,2023-02-09,9,4126,언주역,승차,어린이,46
393,2023-02-09,9,4126,언주역,승차,청소년,150
394,2023-02-09,9,4126,언주역,승차,무임권,1126
395,2023-02-09,9,4126,언주역,승차,정기권,231
396,2023-02-09,9,4126,언주역,하차,일반,11142
397,2023-02-09,9,4126,언주역,하차,어린이,54
398,2023-02-09,9,4126,언주역,하차,청소년,142
399,2023-02-09,9,4126,언주역,하차,무임권,1119
400,2023-02-09,9,4126,언주역,하차,정기권,263
401,2023-02-10,9,4126,언주역,승차,일반,10951
402,2023-02-10,9,4126,언주역,승차,어린이,52
403,2023-02-10,9,4126,언주역,승차,청소년,136
404,2023-02-10,9,4126,언주역,승차,무임권,1104
405,2023-02-10,9,4126,언주역,승차,정기권,253
406,2023-02-10,9,4126,언주역,하차,일반,11064
407,2023-02-10,9,4126,언주역,하차,어린이,52
408,2023-02-10,9,4126,언주역,하차,청소년,147
409,2023-02-10,9,4126,언주역,하차,무임권,1065
410,2023-02-10,9,4126,언주역,하차,정기권,267
411,2023-02-11,9,4126,언주역,승차,일반,5695
412,2023-02-11,9,4126,언주역,승차,어린이,139
413,2023-02-11,9,4126,언주역,승차,청소년,309
414,2023-02-11,9,4126,언주역,승차,무임권,847
415,2023-02-11,9,4126,언주역,승차,정기권,106
416,2023-02-11,9,4126,언주역,하차,일반,5805
417,2023-02-11,9,4126,언주역,하차,어린이,143
418,2023-02-11,9,4126,언주역,하차,청소년,269
419,2023-02-11,9,4126,언주역,하차,무임권,860
420,2023-02-11,9,4126,언주역,하차,정기권,100
421,2023-02-12,9,4126,언주역,승차,일반,3049
422,2023-02-12,9,4126,언주역,승차,어린이,93
423,2023-02-12,9,4126,언주역,승차,청소년,200
424,2023-02-12,9,4126,언주역,승차,무임권,556
425,2023-02-12,9,4126,언주역,승차,정기권,41
426,2023-02-12,9,4126,언주역,하차,일반,3109
427,2023-02-12,9,4126,언주역,하차,어린이,86
428,2023-02-12,9,4126,언주역,하차,청소년,180
